Entry	Entry name	Status	Protein names	Organism	Length	Gene symbol	Alias Genes
Q8WUT4	LRRN4_HUMAN	reviewed	Leucine-rich repeat neuronal protein 4 (Neuronal leucine-rich repeat protein 4) (NLRR-4)	Homo sapiens (Human)	740	LRRN4	C20orf75
P09488	GSTM1_HUMAN	reviewed	Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4)	Homo sapiens (Human)	218	GSTM1	GST1
Q9H081	MIS12_HUMAN	reviewed	Protein MIS12 homolog	Homo sapiens (Human)	205	MIS12	NA
P03971	MIS_HUMAN	reviewed	Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS)	Homo sapiens (Human)	560	AMH	MIF
A8MUM7	LEG16_HUMAN	reviewed	Galectin-16	Homo sapiens (Human)	142	LGALS16	NA
Q01449	MLRA_HUMAN	reviewed	Myosin regulatory light chain 2, atrial isoform (MLC-2a) (MLC2a) (Myosin light chain 2a) (Myosin regulatory light chain 7)	Homo sapiens (Human)	175	MYL7	MYL2A;MYLC2A
Q8N130	NPT2C_HUMAN	reviewed	Sodium-dependent phosphate transport protein 2C (Sodium-phosphate transport protein 2C) (Na(+)-dependent phosphate cotransporter 2C) (Sodium/inorganic phosphate cotransporter IIC) (Sodium/phosphate cotransporter 2C) (Na(+)/Pi cotransporter 2C) (NaPi-2c) (Solute carrier family 34 member 3)	Homo sapiens (Human)	599	SLC34A3	NPT2C;NPTIIC
Q86VS3	IQCH_HUMAN	reviewed	IQ domain-containing protein H (Testis development protein NYD-SP5)	Homo sapiens (Human)	1027	IQCH	NA
Q9NWS1	PARI_HUMAN	reviewed	PCNA-interacting partner (PARI) (PARP-1 binding protein) (PARP1-binding protein) (PARPBP)	Homo sapiens (Human)	579	PARPBP	C12orf48;PARI
P03915	NU5M_HUMAN	reviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	Homo sapiens (Human)	603	MT-ND5	MTND5;NADH5;ND5
P09874	PARP1_HUMAN	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	Homo sapiens (Human)	1014	PARP1	ADPRT;PPOL
Q96DC9	OTUB2_HUMAN	reviewed	Ubiquitin thioesterase OTUB2 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB2) (OTU domain-containing ubiquitin aldehyde-binding protein 2) (Otubain-2) (Ubiquitin-specific-processing protease OTUB2)	Homo sapiens (Human)	234	OTUB2	C14orf137;OTB2;OTU2
Q9HBI0	PARVG_HUMAN	reviewed	Gamma-parvin	Homo sapiens (Human)	331	PARVG	NA
P01127	PDGFB_HUMAN	reviewed	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)	Homo sapiens (Human)	241	PDGFB	PDGF2;SIS
Q96DM1	PGBD4_HUMAN	reviewed	PiggyBac transposable element-derived protein 4	Homo sapiens (Human)	585	PGBD4	NA
P15428	PGDH_HUMAN	reviewed	15-hydroxyprostaglandin dehydrogenase [NAD(+)] (15-PGDH) (EC 1.1.1.141) (Prostaglandin dehydrogenase 1) (Short chain dehydrogenase/reductase family 36C member 1)	Homo sapiens (Human)	266	HPGD	PGDH1;SDR36C1
P50479	PDLI4_HUMAN	reviewed	PDZ and LIM domain protein 4 (LIM protein RIL) (Reversion-induced LIM protein)	Homo sapiens (Human)	330	PDLIM4	RIL
Q6ZVK8	NUD18_HUMAN	reviewed	8-oxo-dGDP phosphatase NUDT18 (EC 3.6.1.58) (2-hydroxy-dADP phosphatase) (7,8-dihydro-8-oxoguanine phosphatase) (MutT homolog 3) (Nucleoside diphosphate-linked moiety X motif 18) (Nudix motif 18)	Homo sapiens (Human)	323	NUDT18	MTH3
Q7Z417	NUFP2_HUMAN	reviewed	Nuclear fragile X mental retardation-interacting protein 2 (82 kDa FMRP-interacting protein) (82-FIP) (Cell proliferation-inducing gene 1 protein) (FMRP-interacting protein 2)	Homo sapiens (Human)	695	NUFIP2	KIAA1321;PIG1
Q8N9H8	MUT7_HUMAN	reviewed	Exonuclease mut-7 homolog (EC 3.1.-.-) (Exonuclease 3'-5' domain-containing protein 3)	Homo sapiens (Human)	876	EXD3	HBE269
P22033	MUTA_HUMAN	reviewed	Methylmalonyl-CoA mutase, mitochondrial (MCM) (EC 5.4.99.2) (Methylmalonyl-CoA isomerase)	Homo sapiens (Human)	750	MMUT	MUT
O43172	PRP4_HUMAN	reviewed	U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)	Homo sapiens (Human)	522	PRPF4	PRP4
Q9NZ81	PRR13_HUMAN	reviewed	Proline-rich protein 13 (Taxane-resistance protein)	Homo sapiens (Human)	148	PRR13	TXR1;BM-041
P41231	P2RY2_HUMAN	reviewed	P2Y purinoceptor 2 (P2Y2) (ATP receptor) (P2U purinoceptor 1) (P2U1) (P2U receptor 1) (Purinergic receptor)	Homo sapiens (Human)	377	P2RY2	P2RU1
Q8N4C6	NIN_HUMAN	reviewed	Ninein (hNinein) (Glycogen synthase kinase 3 beta-interacting protein) (GSK3B-interacting protein)	Homo sapiens (Human)	2090	NIN	KIAA1565
Q9Y5G5	PCDG8_HUMAN	reviewed	Protocadherin gamma-A8 (PCDH-gamma-A8)	Homo sapiens (Human)	932	PCDHGA8	KIAA0327
A6NDG6	PGP_HUMAN	reviewed	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)	Homo sapiens (Human)	321	PGP	NA
Q15124	PGM5_HUMAN	reviewed	Phosphoglucomutase-like protein 5 (Aciculin) (Phosphoglucomutase-related protein) (PGM-RP)	Homo sapiens (Human)	567	PGM5	PGMRP
Q9Y5F1	PCDBC_HUMAN	reviewed	Protocadherin beta-12 (PCDH-beta-12)	Homo sapiens (Human)	795	PCDHB12	NA
Q9UN74	PCDA4_HUMAN	reviewed	Protocadherin alpha-4 (PCDH-alpha-4)	Homo sapiens (Human)	947	PCDHA4	NA
O00750	P3C2B_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta (PI3K-C2-beta) (PtdIns-3-kinase C2 subunit beta) (EC 2.7.1.154) (C2-PI3K) (Phosphoinositide 3-kinase-C2-beta)	Homo sapiens (Human)	1634	PIK3C2B	NA
Q9Y5G9	PCDG4_HUMAN	reviewed	Protocadherin gamma-A4 (PCDH-gamma-A4)	Homo sapiens (Human)	962	PCDHGA4	NA
Q9Y5G0	PCDGH_HUMAN	reviewed	Protocadherin gamma-B5 (PCDH-gamma-B5)	Homo sapiens (Human)	923	PCDHGB5	NA
Q3KNV8	PCGF3_HUMAN	reviewed	Polycomb group RING finger protein 3 (RING finger protein 3A)	Homo sapiens (Human)	242	PCGF3	RNF3;RNF3A
Q8TDX7	NEK7_HUMAN	reviewed	Serine/threonine-protein kinase Nek7 (EC 2.7.11.1) (Never in mitosis A-related kinase 7) (NimA-related protein kinase 7)	Homo sapiens (Human)	302	NEK7	NA
Q96PB7	NOE3_HUMAN	reviewed	Noelin-3 (Olfactomedin-3) (Optimedin)	Homo sapiens (Human)	478	OLFM3	NOE3;UNQ1924/PRO4399
Q14982	OPCM_HUMAN	reviewed	Opioid-binding protein/cell adhesion molecule (OBCAM) (OPCML) (Opioid-binding cell adhesion molecule) (IgLON family member 1)	Homo sapiens (Human)	345	OPCML	IGLON1;OBCAM
Q76FK4	NOL8_HUMAN	reviewed	Nucleolar protein 8 (Nucleolar protein Nop132)	Homo sapiens (Human)	1167	NOL8	C9orf34;NOP132
Q8NAV1	PR38A_HUMAN	reviewed	Pre-mRNA-splicing factor 38A	Homo sapiens (Human)	312	PRPF38A	NA
P39877	PA2G5_HUMAN	reviewed	Calcium-dependent phospholipase A2 (EC 3.1.1.4) (Group V phospholipase A2) (PLA2-10) (Phosphatidylcholine 2-acylhydrolase 5)	Homo sapiens (Human)	138	PLA2G5	NA
Q9H255	O51E2_HUMAN	reviewed	Olfactory receptor 51E2 (HPRAJ) (Olfactory receptor OR11-16) (Prostate-specific G-protein coupled receptor)	Homo sapiens (Human)	320	OR51E2	PSGR
Q8NH64	O51A7_HUMAN	reviewed	Olfactory receptor 51A7 (Olfactory receptor OR11-27)	Homo sapiens (Human)	312	OR51A7	NA
Q9NZ20	PA2G3_HUMAN	reviewed	Group 3 secretory phospholipase A2 (EC 3.1.1.4) (Group III secretory phospholipase A2) (GIII sPLA2) (sPLA2-III) (Phosphatidylcholine 2-acylhydrolase 3)	Homo sapiens (Human)	509	PLA2G3	NA
Q8NHA4	O2AE1_HUMAN	reviewed	Olfactory receptor 2AE1 (Olfactory receptor 2AE2)	Homo sapiens (Human)	323	OR2AE1	OR2AE2
Q8NH63	O51H1_HUMAN	reviewed	Olfactory receptor 51H1 (Olfactory receptor OR11-25)	Homo sapiens (Human)	302	OR51H1	OR51H1P
Q9H344	O51I2_HUMAN	reviewed	Olfactory receptor 51I2 (Odorant receptor HOR5'beta12) (Olfactory receptor OR11-38)	Homo sapiens (Human)	312	OR51I2	NA
A3QJZ7	PRA27_HUMAN	reviewed	PRAME family member 27	Homo sapiens (Human)	478	PRAMEF27	NA
P78395	PRAME_HUMAN	reviewed	Melanoma antigen preferentially expressed in tumors (Opa-interacting protein 4) (OIP-4) (Preferentially expressed antigen of melanoma)	Homo sapiens (Human)	509	PRAME	MAPE;OIP4
Q8NGK5	O52M1_HUMAN	reviewed	Olfactory receptor 52M1 (Olfactory receptor OR11-11)	Homo sapiens (Human)	317	OR52M1	OR52M1P
Q96QH2	PRAM_HUMAN	reviewed	PML-RARA-regulated adapter molecule 1 (PRAM) (PRAM-1)	Homo sapiens (Human)	670	PRAM1	NA
Q5VWM5	PRAM9_HUMAN	reviewed	PRAME family member 9/15	Homo sapiens (Human)	478	PRAMEF9;	PRAMEF15
Q9Y585	OR1A2_HUMAN	reviewed	Olfactory receptor 1A2 (Olfactory receptor 17-6) (OR17-6) (Olfactory receptor OR17-10)	Homo sapiens (Human)	309	OR1A2	NA
P47884	OR1D4_HUMAN	reviewed	Olfactory receptor 1D4 (Olfactory receptor 17-30) (OR17-30)	Homo sapiens (Human)	311	OR1D4	NA
P14222	PERF_HUMAN	reviewed	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	Homo sapiens (Human)	555	PRF1	PFP
Q96R48	OR2A5_HUMAN	reviewed	Olfactory receptor 2A5 (Olfactory receptor 2A26) (Olfactory receptor 2A8) (Olfactory receptor 7-138/7-141) (OR7-138) (OR7-141)	Homo sapiens (Human)	311	OR2A5	OR2A26;OR2A8
Q8NH93	OR1L3_HUMAN	reviewed	Olfactory receptor 1L3 (Olfactory receptor 9-D) (OR9-D) (Olfactory receptor OR9-28)	Homo sapiens (Human)	324	OR1L3	NA
Q8NGQ3	OR1S2_HUMAN	reviewed	Olfactory receptor 1S2 (Olfactory receptor OR11-231)	Homo sapiens (Human)	325	OR1S2	NA
P47893	OR3A2_HUMAN	reviewed	Olfactory receptor 3A2 (Olfactory receptor 17-228) (OR17-228) (Olfactory receptor OR17-14)	Homo sapiens (Human)	321	OR3A2	OLFRA04
P58180	OR4D2_HUMAN	reviewed	Olfactory receptor 4D2 (B-lymphocyte membrane protein BC2009) (Olfactory receptor OR17-24)	Homo sapiens (Human)	307	OR4D2	NA
Q8N0Y3	OR4N4_HUMAN	reviewed	Olfactory receptor 4N4 (Olfactory receptor OR15-1) (Olfactory receptor OR15-5)	Homo sapiens (Human)	316	OR4N4	NA
Q96R72	OR4K3_HUMAN	reviewed	Olfactory receptor 4K3 (Olfactory receptor OR14-14)	Homo sapiens (Human)	315	OR4K3	OR4K3P
Q8NHB8	OR5K2_HUMAN	reviewed	Olfactory receptor 5K2 (Olfactory receptor OR3-9)	Homo sapiens (Human)	316	OR5K2	NA
Q8NGE3	O10P1_HUMAN	reviewed	Olfactory receptor 10P1 (Olfactory receptor 10P2) (Olfactory receptor 10P3) (Olfactory receptor OR12-7)	Homo sapiens (Human)	313	OR10P1	OR10P1P;OR10P2P;OR10P3P
Q8NGC7	O11H6_HUMAN	reviewed	Olfactory receptor 11H6 (Olfactory receptor OR14-35)	Homo sapiens (Human)	330	OR11H6	NA
Q8NH10	OR8U1_HUMAN	reviewed	Olfactory receptor 8U1	Homo sapiens (Human)	309	OR8U1	NA
P61916	NPC2_HUMAN	reviewed	NPC intracellular cholesterol transporter 2 (Epididymal secretory protein E1) (Human epididymis-specific protein 1) (He1) (Niemann-Pick disease type C2 protein)	Homo sapiens (Human)	151	NPC2	HE1
Q9NX40	OCAD1_HUMAN	reviewed	OCIA domain-containing protein 1 (Ovarian cancer immunoreactive antigen domain containing 1) (Ovarian carcinoma immunoreactive antigen)	Homo sapiens (Human)	245	OCIAD1	ASRIJ;OCIA
P0C6T2	OST4_HUMAN	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4	Homo sapiens (Human)	37	OST4	NA
Q8NCY6	MSD4_HUMAN	reviewed	Myb/SANT-like DNA-binding domain-containing protein 4 (Myb/SANT-like DNA-binding domain containing 4 with coiled-coils)	Homo sapiens (Human)	345	MSANTD4	KIAA1826;DC25
Q9BTE0	NAT9_HUMAN	reviewed	N-acetyltransferase 9 (EC 2.3.1.-) (Embryo brain-specific protein)	Homo sapiens (Human)	207	NAT9	EBS
O43196	MSH5_HUMAN	reviewed	MutS protein homolog 5 (hMSH5)	Homo sapiens (Human)	834	MSH5	NA
Q8N6N6	NATD1_HUMAN	reviewed	Protein NATD1 (N-acetyltransferase domain-containing protein 1)	Homo sapiens (Human)	113	NATD1	C17orf103;GTLF3B
Q9UHQ9	NB5R1_HUMAN	reviewed	NADH-cytochrome b5 reductase 1 (b5R.1) (EC 1.6.2.2) (Humb5R2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2)	Homo sapiens (Human)	305	CYB5R1	NQO3A2;UNQ3049/PRO9865
Q7Z3H0	PANKY_HUMAN	reviewed	Photoreceptor ankyrin repeat protein (Ankyrin repeat domain-containing protein 33)	Homo sapiens (Human)	452	ANKRD33	C12orf7;PANKY
P52298	NCBP2_HUMAN	reviewed	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (Cell proliferation-inducing gene 55 protein) (NCBP 20 kDa subunit) (CBP20) (NCBP-interacting protein 1) (NIP1)	Homo sapiens (Human)	156	NCBP2	CBP20;PIG55
P29120	NEC1_HUMAN	reviewed	Neuroendocrine convertase 1 (NEC 1) (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1) (PC1)	Homo sapiens (Human)	753	PCSK1	NEC1
Q16656	NRF1_HUMAN	reviewed	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal)	Homo sapiens (Human)	503	NRF1	NA
P34949	MPI_HUMAN	reviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	Homo sapiens (Human)	423	MPI	PMI1
P55160	NCKPL_HUMAN	reviewed	Nck-associated protein 1-like (Hematopoietic protein 1) (Membrane-associated protein HEM-1)	Homo sapiens (Human)	1127	NCKAP1L	HEM1
Q969V3	NCLN_HUMAN	reviewed	Nicalin (Nicastrin-like protein)	Homo sapiens (Human)	563	NCLN	NA
Q99729	ROAA_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (APOBEC1-binding protein 1) (ABBP-1)	Homo sapiens (Human)	332	HNRNPAB	ABBP1;HNRPAB
Q2M3A8	MRAS1_HUMAN	reviewed	Putative uncharacterized protein MRGPRG-AS1 (MRGPRG antisense RNA 1) (MRGPRG antisense gene protein 1)	Homo sapiens (Human)	158	MRGPRG-AS1	C11orf36;HSD-40;HSD40
A0A1B0GUC4	MYCOS_HUMAN	reviewed	Myocilin opposite strand protein	Homo sapiens (Human)	108	MYOCOS	NA
P01185	NEU2_HUMAN	reviewed	Vasopressin-neurophysin 2-copeptin (AVP-NPII) [Cleaved into: Arg-vasopressin (Arginine-vasopressin); Neurophysin 2 (Neurophysin-II); Copeptin]	Homo sapiens (Human)	164	AVP	ARVP;VP
Q99836	MYD88_HUMAN	reviewed	Myeloid differentiation primary response protein MyD88	Homo sapiens (Human)	296	MYD88	NA
O95478	NSA2_HUMAN	reviewed	Ribosome biogenesis protein NSA2 homolog (Hairy cell leukemia protein 1) (TGF-beta-inducible nuclear protein 1)	Homo sapiens (Human)	260	NSA2	TINP1;HUSSY-29
P23409	MYF6_HUMAN	reviewed	Myogenic factor 6 (Myf-6) (Class C basic helix-loop-helix protein 4) (bHLHc4) (Muscle-specific regulatory factor 4)	Homo sapiens (Human)	242	MYF6	BHLHC4;MRF4
Q96MF7	NSE2_HUMAN	reviewed	E3 SUMO-protein ligase NSE2 (EC 2.3.2.-) (E3 SUMO-protein transferase NSE2) (MMS21 homolog) (hMMS21) (Non-structural maintenance of chromosomes element 2 homolog) (Non-SMC element 2 homolog)	Homo sapiens (Human)	247	NSMCE2	C8orf36;MMS21
P13598	ICAM2_HUMAN	reviewed	Intercellular adhesion molecule 2 (ICAM-2) (CD antigen CD102)	Homo sapiens (Human)	275	ICAM2	NA
O95983	MBD3_HUMAN	reviewed	Methyl-CpG-binding domain protein 3 (Methyl-CpG-binding protein MBD3)	Homo sapiens (Human)	291	MBD3	NA
Q9H2X8	I27L2_HUMAN	reviewed	Interferon alpha-inducible protein 27-like protein 2 (Interferon-stimulated gene 12b protein) (ISG12(b)) (ISG12B) (Protein TLH29) (pIFI27-like protein)	Homo sapiens (Human)	130	IFI27L2	FAM14A;TLH29
Q6IE81	JADE1_HUMAN	reviewed	Protein Jade-1 (Jade family PHD finger protein 1) (PHD finger protein 17)	Homo sapiens (Human)	842	JADE1	KIAA1807;PHF17
Q93033	IGSF2_HUMAN	reviewed	Immunoglobulin superfamily member 2 (IgSF2) (Cell surface glycoprotein V7) (Glu-Trp-Ile EWI motif-containing protein 101) (EWI-101) (CD antigen CD101)	Homo sapiens (Human)	1021	CD101	EWI101;IGSF2;V7
Q9P298	HIG1B_HUMAN	reviewed	HIG1 domain family member 1B (Protein CLST 11240)	Homo sapiens (Human)	99	HIGD1B	NA
A8MWY0	K132L_HUMAN	reviewed	UPF0577 protein KIAA1324-like (Estrogen-induced gene 121-like protein) (hEIG121L)	Homo sapiens (Human)	1029	KIAA1324L	EIG121L
O76095	JTB_HUMAN	reviewed	Protein JTB (Jumping translocation breakpoint protein) (Prostate androgen-regulated protein) (PAR protein)	Homo sapiens (Human)	146	JTB	HSPC222
Q8IV33	K0825_HUMAN	reviewed	Uncharacterized protein KIAA0825	Homo sapiens (Human)	1275	KIAA0825	C5orf36
Q9BY89	K1671_HUMAN	reviewed	Uncharacterized protein KIAA1671	Homo sapiens (Human)	1806	KIAA1671	NA
P54652	HSP72_HUMAN	reviewed	Heat shock-related 70 kDa protein 2 (Heat shock 70 kDa protein 2)	Homo sapiens (Human)	639	HSPA2	NA
Q0VF49	K2012_HUMAN	reviewed	Uncharacterized protein KIAA2012	Homo sapiens (Human)	1180	KIAA2012	NA
Q96MA6	KAD8_HUMAN	reviewed	Adenylate kinase 8 (AK 8) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 8)	Homo sapiens (Human)	479	AK8	C9orf98
Q13554	KCC2B_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)	Homo sapiens (Human)	666	CAMK2B	CAM2;CAMK2;CAMKB
P16401	H15_HUMAN	reviewed	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)	Homo sapiens (Human)	226	H1-5	H1F5;HIST1H1B
Q8N9T8	KRI1_HUMAN	reviewed	Protein KRI1 homolog	Homo sapiens (Human)	703	KRI1	NA
Q9BYQ6	KR411_HUMAN	reviewed	Keratin-associated protein 4-11 (Keratin-associated protein 4-14) (Keratin-associated protein 4.11) (Keratin-associated protein 4.14) (Ultrahigh sulfur keratin-associated protein 4.14)	Homo sapiens (Human)	195	KRTAP4-11	KAP4.14;KRTAP4-14;KRTAP4.11;KRTAP4.14
A5PL33	KRBA1_HUMAN	reviewed	Protein KRBA1	Homo sapiens (Human)	1030	KRBA1	KIAA1862
Q8IUC0	KR131_HUMAN	reviewed	Keratin-associated protein 13-1 (High sulfur keratin-associated protein 13.1)	Homo sapiens (Human)	172	KRTAP13-1	KAP13.1;KRTAP13.1
Q96JZ2	HSH2D_HUMAN	reviewed	Hematopoietic SH2 domain-containing protein (Hematopoietic SH2 protein) (Adaptor in lymphocytes of unknown function X)	Homo sapiens (Human)	352	HSH2D	ALX
Q9BYR7	KRA32_HUMAN	reviewed	Keratin-associated protein 3-2 (High sulfur keratin-associated protein 3.2) (Keratin-associated protein 3.2)	Homo sapiens (Human)	98	KRTAP3-2	KAP3.2;KRTAP3.2
A8MX34	KR291_HUMAN	reviewed	Keratin-associated protein 29-1 (Keratin-associated protein 29.2)	Homo sapiens (Human)	341	KRTAP29-1	KAP29.2
O75951	LYZL6_HUMAN	reviewed	Lysozyme-like protein 6 (EC 3.2.1.17)	Homo sapiens (Human)	148	LYZL6	LYC1;UNQ754/PRO1485
Q8WZA0	LZIC_HUMAN	reviewed	Protein LZIC (Leucine zipper and CTNNBIP1 domain-containing protein) (Leucine zipper and ICAT homologous domain-containing protein)	Homo sapiens (Human)	190	LZIC	NA
Q96QH8	LYZL5_HUMAN	reviewed	Sperm acrosome-associated protein 5 (EC 3.2.1.17) (Lysozyme-like protein 5) (Sperm-specific lysozyme-like protein X) (SLLP-X)	Homo sapiens (Human)	159	SPACA5	LYZL5;SPACA5A;UNQ6288/PRO20753;;SPACA5B
P0CJ76	HMN9_HUMAN	reviewed	Humanin-like 9 (HN9) (MT-RNR2-like protein 9)	Homo sapiens (Human)	24	MTRNR2L9	NA
P0CJ72	HMN5_HUMAN	reviewed	Humanin-like 5 (HN5) (MT-RNR2-like protein 5)	Homo sapiens (Human)	24	MTRNR2L5	NA
P78385	KRT83_HUMAN	reviewed	Keratin, type II cuticular Hb3 (Hair keratin K2.10) (Keratin-83) (K83) (Type II hair keratin Hb3) (Type-II keratin Kb23)	Homo sapiens (Human)	493	KRT83	KRTHB3
Q9Y691	KCMB2_HUMAN	reviewed	Calcium-activated potassium channel subunit beta-2 (BK channel subunit beta-2) (BKbeta2) (Hbeta2) (Calcium-activated potassium channel, subfamily M subunit beta-2) (Charybdotoxin receptor subunit beta-2) (Hbeta3) (K(VCA)beta-2) (Maxi K channel subunit beta-2) (Slo-beta-2)	Homo sapiens (Human)	235	KCNMB2	NA
P0DP75	M14OS_HUMAN	reviewed	Putative uncharacterized protein MED14OS (MED14 antisense gene protein 1) (MED14 opposite strand protein)	Homo sapiens (Human)	135	MED14OS	MED14-AS1
Q8N1A0	KT222_HUMAN	reviewed	Keratin-like protein KRT222 (Keratin-222) (Keratin-222 pseudogene)	Homo sapiens (Human)	295	KRT222	KA21;KRT222P
Q8TC57	M1AP_HUMAN	reviewed	Meiosis 1 arrest protein (Meiosis 1-arresting protein) (Meiosis 1-associated protein) (Spermatogenesis-associated protein 37)	Homo sapiens (Human)	530	M1AP	C2orf65;SPATA37
Q9UIX4	KCNG1_HUMAN	reviewed	Potassium voltage-gated channel subfamily G member 1 (Voltage-gated potassium channel subunit Kv6.1) (kH2)	Homo sapiens (Human)	513	KCNG1	NA
Q9UQ05	KCNH4_HUMAN	reviewed	Potassium voltage-gated channel subfamily H member 4 (Brain-specific eag-like channel 2) (BEC2) (Ether-a-go-go-like potassium channel 1) (ELK channel 1) (ELK1) (Voltage-gated potassium channel subunit Kv12.3)	Homo sapiens (Human)	1017	KCNH4	NA
O60812	HNRC1_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein C-like 1 (hnRNP C-like-1) (hnRNP core protein C-like 1)	Homo sapiens (Human)	293	HNRNPCL1	HNRPCL1
P23919	KTHY_HUMAN	reviewed	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	Homo sapiens (Human)	212	DTYMK	CDC8;TMPK;TYMK
Q9HB15	KCNKC_HUMAN	reviewed	Potassium channel subfamily K member 12 (Tandem pore domain halothane-inhibited potassium channel 2) (THIK-2)	Homo sapiens (Human)	430	KCNK12	NA
Q86X40	LRC28_HUMAN	reviewed	Leucine-rich repeat-containing protein 28	Homo sapiens (Human)	367	LRRC28	UNQ436/PRO867
O43525	KCNQ3_HUMAN	reviewed	Potassium voltage-gated channel subfamily KQT member 3 (KQT-like 3) (Potassium channel subunit alpha KvLQT3) (Voltage-gated potassium channel subunit Kv7.3)	Homo sapiens (Human)	872	KCNQ3	NA
Q9BQ31	KCNS3_HUMAN	reviewed	Potassium voltage-gated channel subfamily S member 3 (Delayed-rectifier K(+) channel alpha subunit 3) (Voltage-gated potassium channel subunit Kv9.3)	Homo sapiens (Human)	491	KCNS3	NA
P52272	HNRPM_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	Homo sapiens (Human)	730	HNRNPM	HNRPM;NAGR1
P48200	IREB2_HUMAN	reviewed	Iron-responsive element-binding protein 2 (IRE-BP 2) (Iron regulatory protein 2) (IRP2)	Homo sapiens (Human)	963	IREB2	NA
Q02556	IRF8_HUMAN	reviewed	Interferon regulatory factor 8 (IRF-8) (Interferon consensus sequence-binding protein) (H-ICSBP) (ICSBP)	Homo sapiens (Human)	426	IRF8	ICSBP1
O43318	M3K7_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	Homo sapiens (Human)	606	MAP3K7	TAK1
O00754	MA2B1_HUMAN	reviewed	Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide]	Homo sapiens (Human)	1011	MAN2B1	LAMAN;MANB
Q8N112	LSME2_HUMAN	reviewed	Leucine-rich single-pass membrane protein 2	Homo sapiens (Human)	164	LSMEM2	C3orf45
O94806	KPCD3_HUMAN	reviewed	Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)	Homo sapiens (Human)	890	PRKD3	EPK2;PRKCN
Q9UJU2	LEF1_HUMAN	reviewed	Lymphoid enhancer-binding factor 1 (LEF-1) (T cell-specific transcription factor 1-alpha) (TCF1-alpha)	Homo sapiens (Human)	399	LEF1	NA
Q96T58	MINT_HUMAN	reviewed	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	Homo sapiens (Human)	3664	SPEN	KIAA0929;MINT;SHARP
